Date,Ticker,Sector,Close,Return
12-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3788.55,-0.711533926
12-06-2020,UPL,FERTILISERS & PESTICIDES,411.65,-1.824469354
12-06-2020,VEDL,METALS,103.3,10.30432461
12-06-2020,WIPRO,IT,207.9,-3.324808184
12-06-2020,ZEEL,MEDIA & ENTERTAINMENT,168.55,-9.332974718
15-06-2020,ADANIPORTS,SERVICES,339.75,3.157734932
15-06-2020,ASIANPAINT,CONSUMER GOODS,1618.2,-4.432304739
15-06-2020,AXISBANK,FINANCIAL SERVICES,389.6,-1.851618592
15-06-2020,BAJAJ-AUTO,AUTOMOBILE,2728.55,-1.078562883
15-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5103.6,7.146456164
15-06-2020,BAJFINANCE,FINANCIAL SERVICES,2351.4,8.818289099
